"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2002","406.35","373.50","411.13","369.14","","8.80%"
"01-10-2002","373.50","362.27","376.71","324.90","","3.10%"
"01-09-2002","362.27","390.96","397.55","354.30","","-7.34%"
"01-08-2002","390.96","392.42","410.92","367.12","","-0.37%"
"01-07-2002","392.42","462.63","462.63","354.11","","-15.18%"
"01-06-2002","462.64","487.47","487.59","441.76","","-5.09%"
"01-05-2002","487.47","510.67","515.26","482.60","","-4.54%"
"01-04-2002","510.67","506.46","523.79","493.76","","0.83%"
"01-03-2002","506.46","469.37","509.19","469.19","","7.90%"
"01-02-2002","469.36","483.10","484.00","457.05","","-2.84%"
"01-01-2002","483.10","488.50","503.08","468.04","","-1.11%"
"01-12-2001","488.50","460.79","494.71","455.51","","6.02%"
"01-11-2001","460.78","428.17","465.92","424.84","","7.62%"
"01-10-2001","428.17","404.87","439.81","393.00","","5.75%"
"01-09-2001","404.87","468.56","472.81","373.62","","-13.59%"
"01-08-2001","468.56","484.78","491.89","465.42","","-3.35%"
"01-07-2001","484.78","513.28","513.28","471.36","","-5.43%"
"01-06-2001","512.64","496.50","516.48","482.19","","3.25%"
"01-05-2001","496.50","485.31","519.89","480.47","","2.30%"
"01-04-2001","485.32","450.53","490.25","424.64","","7.72%"
"01-03-2001","450.53","474.38","485.50","419.70","","-5.03%"
"01-02-2001","474.37","508.33","510.94","465.07","","-6.68%"
